Buy Price (Avg Price ($/kWh) from energyonline.com - year 2020 - CAISO),Sell Price (0.8 * Avg Price ($/kWh)),Emissions (lb CO2e/kWh) from WattTime for 2020 - Civic Center @ SF,Demand Charge
1.49E-02,1.19E-02,1.025123932,14.71
1.93E-02,1.55E-02,1.022129274,14.71
3.14E-02,2.51E-02,1.028439103,14.71
3.00E-02,2.40E-02,1.012195513,14.71
2.71E-02,2.16E-02,1.007793803,14.71
2.39E-02,1.91E-02,1.004451923,14.71
2.29E-02,1.83E-02,1.008069444,14.71
2.22E-02,1.77E-02,1.011544872,14.71
2.48E-02,1.99E-02,1.009183544,14.71
2.77E-02,2.21E-02,0.993132911,14.71
2.45E-02,1.96E-02,1.00360443,14.71
2.45E-02,1.96E-02,0.998005274,14.71
2.91E-02,2.33E-02,1.00246097,14.71
2.21E-02,1.77E-02,0.985623418,14.71
2.88E-02,2.31E-02,0.98606962,14.71
3.86E-02,3.09E-02,0.971659283,14.71
2.14E-02,1.72E-02,0.874530591,14.71
1.78E-02,1.42E-02,0.806773207,14.71
1.50E-02,1.20E-02,0.80446308,14.71
1.61E-02,1.29E-02,0.740412447,14.71
1.53E-02,1.22E-02,0.757200422,14.71
1.37E-02,1.10E-02,0.748900318,14.71
1.90E-02,1.52E-02,0.75953953,14.71
1.42E-02,1.13E-02,0.876995726,14.71
1.74E-02,1.39E-02,1.025123932,14.71
2.61E-02,2.09E-02,1.022129274,14.71
3.01E-02,2.41E-02,1.028439103,14.71
2.92E-02,2.33E-02,1.012195513,14.71
3.03E-02,2.43E-02,1.007793803,14.71
3.84E-02,3.07E-02,1.004451923,14.71
2.84E-02,2.27E-02,1.008069444,14.71
2.16E-02,1.72E-02,1.011544872,14.71
1.61E-02,1.29E-02,1.009183544,14.71
1.56E-02,1.24E-02,0.993132911,14.71
1.55E-02,1.24E-02,1.00360443,14.71
1.46E-02,1.17E-02,0.998005274,14.71
1.63E-02,1.30E-02,1.00246097,14.71
1.93E-02,1.54E-02,0.985623418,14.71
2.36E-02,1.89E-02,0.98606962,14.71
2.83E-02,2.26E-02,0.971659283,14.71
1.83E-02,1.46E-02,0.874530591,14.71
2.20E-02,1.76E-02,0.806773207,14.71
1.69E-02,1.35E-02,0.80446308,14.71
1.46E-02,1.17E-02,0.740412447,14.71
